iter	Passed	Remaining
0	155	154910
1	156	78257
2	158	52681
3	160	39922
4	161	32237
5	163	27089
6	164	23397
7	166	20636
8	167	18472
9	168	16721
10	170	15287
11	171	14103
12	172	13083
13	173	12199
14	174	11434
15	175	10765
16	175	10173
17	176	9637
18	177	9158
19	178	8727
20	178	8334
21	179	7979
22	180	7654
23	180	7351
24	181	7072
25	181	6813
26	182	6572
27	182	6348
28	183	6140
29	183	5947
30	184	5766
31	184	5596
32	185	5436
33	186	5287
34	186	5145
35	187	5010
36	187	4884
37	188	4763
38	188	4650
39	189	4542
40	189	4438
41	190	4341
42	190	4247
43	191	4157
44	191	4072
45	192	3990
46	192	3912
47	193	3837
48	194	3765
49	194	3696
50	195	3630
51	195	3567
52	196	3505
53	196	3445
54	197	3388
55	197	3333
56	198	3279
57	198	3227
58	199	3177
59	199	3129
60	200	3082
61	200	3036
62	201	2993
63	201	2951
64	202	2910
65	202	2871
66	203	2832
67	203	2795
68	204	2758
69	205	2723
70	205	2689
71	206	2655
72	206	2622
73	207	2590
74	207	2559
75	208	2529
76	208	2500
77	209	2471
78	209	2444
79	210	2417
80	210	2391
81	211	2365
82	211	2337
83	212	2312
84	212	2288
85	213	2265
86	213	2241
87	214	2219
88	214	2197
89	215	2175
90	215	2154
91	216	2133
92	216	2113
93	217	2093
94	217	2073
95	218	2054
96	218	2035
97	219	2017
98	219	1999
99	220	1982
100	220	1965
101	221	1948
102	221	1932
103	222	1915
104	222	1899
105	223	1884
106	223	1869
107	224	1854
108	224	1839
109	225	1824
110	226	1810
111	226	1796
112	227	1782
113	227	1768
114	228	1755
115	228	1742
116	229	1728
117	229	1715
118	230	1703
119	230	1691
120	231	1679
121	231	1666
122	232	1654
123	232	1643
124	233	1631
125	233	1620
126	234	1608
127	234	1597
128	235	1587
129	235	1576
130	236	1566
131	236	1555
132	237	1545
133	237	1536
134	238	1526
135	238	1516
136	239	1506
137	239	1497
138	240	1488
139	240	1479
140	241	1470
141	241	1460
142	242	1451
143	242	1442
144	243	1434
145	243	1425
146	244	1417
147	244	1409
148	245	1401
149	245	1393
150	246	1385
151	247	1378
152	247	1370
153	248	1362
154	248	1354
155	249	1349
156	249	1341
157	250	1334
158	251	1327
159	251	1320
160	251	1312
161	252	1305
162	252	1298
163	253	1291
164	253	1285
165	254	1278
166	254	1271
167	255	1265
168	256	1259
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1228
174	259	1222
175	259	1216
176	260	1210
177	260	1204
178	261	1198
179	261	1192
180	262	1187
181	262	1182
182	263	1176
183	264	1171
184	264	1166
185	265	1161
186	265	1155
187	266	1150
188	266	1145
189	267	1140
190	267	1135
191	268	1130
192	269	1125
193	269	1120
194	270	1116
195	270	1111
196	271	1106
197	271	1101
198	272	1096
199	272	1091
200	273	1087
201	273	1082
202	274	1077
203	275	1074
204	275	1069
205	276	1064
206	277	1061
207	277	1056
208	278	1052
209	278	1048
210	279	1043
211	279	1039
212	280	1035
213	280	1031
214	281	1027
215	282	1023
216	282	1020
217	283	1016
218	283	1011
219	284	1007
220	284	1003
221	285	999
222	285	995
223	286	991
224	286	988
225	287	985
226	288	981
227	288	977
228	289	974
229	289	970
230	290	966
231	290	962
232	291	958
233	291	955
234	292	951
235	293	948
236	293	945
237	294	942
238	295	939
239	295	935
240	296	932
241	296	928
242	297	925
243	297	921
244	298	918
245	298	915
246	299	911
247	299	909
248	300	905
249	300	902
250	301	899
251	302	896
252	302	893
253	303	890
254	303	886
255	304	883
256	304	880
257	305	877
258	306	875
259	306	872
260	307	869
261	307	866
262	308	863
263	308	860
264	309	857
265	309	854
266	310	851
267	310	848
268	311	845
269	312	844
270	312	841
271	313	838
272	314	836
273	314	834
274	315	831
275	315	828
276	316	825
277	317	823
278	317	820
279	318	819
280	319	816
281	319	814
282	320	812
283	321	810
284	322	808
285	323	808
286	324	806
287	325	803
288	325	801
289	326	798
290	326	796
291	327	793
292	328	791
293	328	789
294	329	787
295	330	785
296	331	784
297	331	781
298	332	779
299	333	777
300	333	774
301	334	772
302	334	769
303	335	767
304	335	765
305	336	762
306	336	760
307	337	758
308	338	756
309	338	753
310	339	751
311	339	749
312	340	746
313	340	744
314	341	742
315	342	740
316	343	739
317	343	736
318	344	734
319	344	732
320	345	731
321	346	729
322	346	727
323	347	724
324	348	723
325	348	721
326	349	719
327	350	717
328	350	715
329	351	713
330	351	711
331	352	709
332	353	707
333	353	705
334	354	702
335	354	700
336	355	700
337	356	698
338	357	696
339	357	694
340	358	692
341	359	690
342	359	689
343	360	687
344	361	685
345	362	684
346	362	682
347	363	680
348	363	678
349	364	676
350	364	674
351	365	672
352	365	670
353	366	668
354	366	666
355	367	665
356	368	663
357	368	661
358	369	659
359	370	658
360	370	656
361	371	654
362	371	652
363	372	650
364	373	649
365	374	649
366	375	647
367	375	645
368	376	644
369	377	642
370	377	640
371	378	638
372	378	636
373	379	634
374	379	633
375	381	632
376	381	630
377	382	628
378	382	627
379	383	625
380	384	623
381	384	622
382	385	620
383	385	619
384	386	617
385	387	615
386	388	614
387	388	613
388	389	612
389	390	610
390	391	609
391	391	607
392	392	605
393	392	604
394	393	602
395	394	601
396	394	599
397	395	598
398	396	596
399	396	594
400	397	593
401	397	591
402	398	590
403	399	588
404	399	587
405	400	586
406	401	585
407	402	584
408	403	582
409	404	581
410	405	580
411	406	580
412	407	579
413	408	578
414	409	577
415	410	576
416	411	575
417	412	574
418	413	572
419	413	571
420	414	570
421	415	569
422	418	570
423	418	569
424	420	568
425	420	566
426	421	565
427	422	564
428	423	563
429	424	562
430	425	561
431	427	562
432	428	561
433	429	560
434	430	559
435	431	558
436	432	557
437	433	556
438	434	554
439	435	554
440	436	552
441	436	551
442	437	550
443	438	549
444	439	547
445	440	546
446	440	545
447	441	544
448	442	543
449	444	543
450	445	542
451	445	540
452	446	539
453	447	538
454	448	537
455	449	535
456	450	535
457	451	533
458	451	532
459	452	531
460	453	529
461	454	528
462	454	527
463	455	526
464	456	525
465	457	524
466	458	522
467	458	521
468	459	520
469	460	519
470	461	518
471	462	516
472	462	515
473	463	514
474	463	512
475	464	511
476	464	509
477	465	508
478	466	507
479	467	506
480	468	505
481	468	503
482	469	502
483	469	500
484	470	499
485	471	498
486	471	497
487	473	496
488	473	494
489	474	493
490	474	492
491	475	491
492	476	489
493	476	488
494	477	487
495	478	485
496	479	484
497	479	483
498	480	482
499	481	481
500	481	479
501	482	478
502	482	477
503	483	475
504	483	474
505	484	473
506	485	472
507	486	470
508	487	469
509	487	468
510	488	467
511	488	465
512	489	464
513	489	463
514	490	461
515	491	461
516	492	459
517	492	458
518	493	457
519	493	455
520	494	454
521	495	453
522	495	452
523	496	450
524	497	450
525	498	448
526	498	447
527	499	446
528	499	445
529	500	444
530	501	442
531	501	441
532	503	440
533	503	439
534	504	438
535	505	437
536	505	436
537	506	434
538	506	433
539	507	432
540	507	430
541	508	429
542	509	428
543	509	427
544	510	425
545	510	424
546	511	423
547	511	421
548	512	420
549	512	419
550	513	418
551	513	416
552	514	415
553	514	414
554	515	413
555	515	411
556	516	410
557	516	409
558	517	408
559	517	406
560	518	405
561	518	404
562	519	403
563	520	402
564	520	400
565	521	399
566	521	398
567	522	397
568	522	395
569	523	394
570	523	393
571	524	392
572	524	391
573	525	389
574	525	388
575	526	387
576	526	386
577	527	385
578	527	383
579	528	382
580	529	381
581	529	380
582	530	379
583	530	378
584	531	376
585	531	375
586	532	374
587	533	373
588	533	372
589	534	371
590	534	370
591	535	368
592	535	367
593	536	366
594	536	365
595	537	364
596	537	362
597	538	361
598	538	360
599	539	359
600	539	358
601	540	357
602	540	356
603	541	354
604	541	353
605	542	352
606	542	351
607	543	350
608	543	349
609	544	348
610	545	346
611	545	345
612	546	344
613	546	343
614	547	342
615	547	341
616	548	340
617	548	339
618	549	338
619	549	336
620	550	335
621	550	334
622	551	333
623	551	332
624	552	331
625	552	330
626	553	329
627	553	328
628	554	327
629	555	325
630	555	324
631	556	323
632	556	322
633	557	321
634	557	320
635	558	319
636	558	318
637	559	317
638	559	316
639	560	315
640	560	314
641	561	313
642	561	312
643	562	310
644	563	309
645	563	308
646	564	307
647	564	306
648	565	305
649	565	304
650	566	303
651	566	302
652	567	301
653	567	300
654	568	299
655	568	298
656	569	297
657	569	296
658	570	295
659	570	293
660	571	292
661	571	291
662	572	290
663	572	289
664	573	288
665	573	287
666	574	286
667	574	285
668	575	284
669	576	283
670	576	282
671	577	281
672	577	280
673	578	279
674	578	278
675	579	277
676	579	276
677	580	275
678	580	274
679	581	273
680	581	272
681	582	271
682	582	270
683	583	269
684	583	268
685	584	267
686	584	266
687	585	265
688	585	264
689	586	263
690	586	262
691	587	261
692	587	260
693	588	259
694	588	258
